reception_player,team,Receptions,Yards,Touchdowns
Danny Scudero,San José State,85,1189.0,8.0
Marquis Buchanan,Rhode Island,74,1189.0,4.0
Skyler Bell,UConn,93,1130.0,6.0
Makai Lemon,USC,74,1110.0,5.0
KJ Duff,Rutgers,61,1102.0,3.0
Wyatt Young,North Texas,60,1048.0,6.0
Ryan Upp,Morehead State,78,1043.0,3.0
Joshua Derry,Monmouth,68,1033.0,7.0
Eric McAlister,TCU,58,1028.0,7.0
Beau Sparks,Texas State,78,1007.0,3.0
Jalen Jones,Alabama State,45,999.0,6.0
Chase Hendricks,Ohio,69,994.0,4.0
Duce Robinson,Florida State,51,991.0,3.0
Jimmy Kibble,Georgetown,62,986.0,3.0
Lewis Bond,Boston College,85,977.0,0.0
Chris Brazzell II,Tennessee,61,968.0,8.0
Easton Messer,Florida Atlantic,89,955.0,1.0
Ted Hurst,Georgia State,66,949.0,3.0
Max Tomczak,Youngstown State,61,944.0,3.0
Jared Richardson,Pennsylvania,74,943.0,4.0
Camden Brown,Georgia Southern,58,939.0,8.0
Chris Bell,Louisville,72,924.0,6.0
Carver Cheeks,Northern Colorado,70,910.0,3.0
Malachi Toney,Miami,81,901.0,3.0
Nik McMillan,Buffalo,60,901.0,1.0
Bryce Lance,North Dakota State,46,895.0,3.0
Cooper Barkate,Duke,60,879.0,4.0
Jeremiah Smith,Ohio State,68,874.0,6.0
Brenen Thompson,Mississippi State,49,873.0,3.0
Iverson Hooks,UAB,69,869.0,5.0
Reed Swanson,Colgate,53,866.0,3.0
Jacob De Jesus,California,94,865.0,1.0
Junior Vandeross,Toledo,71,854.0,7.0
Cortez Braham,Memphis,62,851.0,5.0
Corey Rucker,Arkansas State,65,849.0,1.0
Michael Shulikov,Idaho State,49,847.0,4.0
Nico Brown,Yale,54,843.0,3.0
Chris Lofton,Gardner-Webb,49,841.0,2.0
Anthony Smith,East Carolina,56,838.0,3.0
Braden Pegan,Utah State,59,829.0,2.0
Hank Beatty,Illinois,63,825.0,2.0
Javon Gipson,Abilene Christian,51,822.0,2.0
Mario Craver,Texas A&M,52,819.0,4.0
Geoffrey Jamiel,Lehigh,61,819.0,4.0
Cole Monach,San Diego,53,815.0,3.0
Eli Heidenreich,Navy,40,809.0,4.0
Parker Kingston,BYU,57,806.0,2.0
Jaden Bradley,UNLV,50,804.0,1.0
Christian Jourdain,East Texas A&M,59,804.0,2.0
Devin Voisin,South Alabama,68,799.0,4.0
Trell Harris,Virginia,55,795.0,3.0
Jalen Walthall,Incarnate Word,61,791.0,2.0
Kamryn Perry,Miami (OH),33,790.0,3.0
Victor Snow,Buffalo,59,783.0,5.0
Tsion Nunnally,Idaho State,59,781.0,4.0
Kevin Concepcion,Texas A&M,52,781.0,5.0
Chauncy Cobb,Arkansas State,68,780.0,0.0
Michael Briscoe,Cal Poly,43,779.0,7.0
Jay Rockwell,Prairie View A&M,49,779.0,1.0
Cam Pedro,Southeast Missouri State,63,775.0,3.0
Isaiah Sategna,Oklahoma,60,771.0,5.0
Kyre Duplessis,Delaware,54,762.0,2.0
Omar Cooper Jr.,Indiana,55,761.0,7.0
Vinson Davis,Southern Illinois,53,760.0,3.0
Sean Wilson,Delaware,56,760.0,0.0
Trent Walker,Oregon State,59,758.0,0.0
Mike Matthews,Tennessee,48,753.0,2.0
Keshaun Singleton,South Florida,44,752.0,3.0
Braylon Staley,Tennessee,61,751.0,3.0
Carnell Tate,Ohio State,43,750.0,6.0
Emmanuel Henderson Jr.,Kansas,43,746.0,4.0
Denzel Boston,Washington,53,738.0,6.0
Owen Sweeney,VMI,42,737.0,6.0
Daniel Sobkowicz,Illinois State,53,737.0,6.0
Kyri Shoels,San José State,57,737.0,2.0
Brayden Munroe,Northern Colorado,52,735.0,2.0
Ja'Kobi Lane,USC,48,735.0,3.0
Kris Hutson,Arizona,55,730.0,2.0
Cincere Gill,Presbyterian,31,722.0,4.0
Ian Strong,Rutgers,51,722.0,2.0
Kevin Coleman Jr.,Missouri,63,719.0,1.0
Gavin Lochow,Dayton,58,719.0,5.0
Evan James,Furman,60,719.0,2.0
O'Mega Blake,Arkansas,54,714.0,3.0
Kylon Harris,Stephen F. Austin,60,713.0,5.0
Chase Roberts,BYU,45,713.0,5.0
Michael Wortham,Montana,50,710.0,4.0
Caleb Douglas,Texas Tech,48,708.0,1.0
Matthew Henry,Western Kentucky,45,707.0,3.0
Cameron Dorner,North Texas,46,707.0,3.0
Peyton Kramer,Tarleton State,42,707.0,4.0
Jaylon Domingeaux,SE Louisiana,46,706.0,6.0
Chance Peterson,North Carolina Central,46,705.0,1.0
Jalen Smith,Lindenwood,36,705.0,1.0
Anthony Evans III,Mississippi State,59,705.0,2.0
TJ Speight,Monmouth,67,705.0,1.0
Amare Thomas,Houston,53,704.0,2.0
Isaiah Fuhrmann,Elon,40,701.0,4.0
Pofele Ashlock,Hawai'i,61,701.0,5.0
Jordyn Tyson,Arizona State,59,701.0,8.0
Germie Bernard,Alabama,51,700.0,6.0
Randall King,Campbell,58,700.0,4.0
Jordan Hudson,SMU,52,699.0,3.0
Harrison Wallace III,Ole Miss,45,695.0,2.0
Xayvion Noland,UT Rio Grande Valley,35,695.0,4.0
Luke Colella,Villanova,52,693.0,3.0
Ivan Hoyt,Davidson,55,691.0,4.0
Taco Dowler,Montana State,56,691.0,3.0
Trond Grizzell,California,48,690.0,1.0
Kam'ryn Thomas,Norfolk State,44,689.0,1.0
Zachariah Branch,Georgia,66,687.0,2.0
Shaleak Knotts,Maryland,42,687.0,5.0
DreSean Kendrick,Norfolk State,54,683.0,2.0
Malachi Henry,Central Arkansas,63,682.0,4.0
Cam Coleman,Auburn,53,682.0,2.0
Jayshon Platt,Florida Atlantic,44,681.0,2.0
Omarion Miller,Colorado,39,680.0,4.0
Tony Diaz,UT Rio Grande Valley,56,679.0,4.0
Eli Stowers,Vanderbilt,58,677.0,2.0
Gabriel Benyard,Kennesaw State,48,674.0,2.0
Alex Perry,Florida International,47,673.0,2.0
Ernest Campbell,Sacramento State,35,672.0,4.0
Michael Trigg,Baylor,47,672.0,2.0
Sam Milligan,Bucknell,44,669.0,4.0
Carson Persing,Lafayette,56,668.0,2.0
Josh Cameron,Baylor,59,664.0,1.0
Rico Bond,Lindenwood,57,664.0,5.0
T.J. Moore,Clemson,44,662.0,3.0
Alex Bullock,South Dakota State,54,660.0,2.0
Jaxton Santiago,Yale,48,659.0,2.0
Asaad Waseem,Florida Atlantic,66,658.0,3.0
Brayden Smith,Mercer,55,657.0,4.0
Larenzo Fenner,South Dakota,27,656.0,6.0
Jayce Brown,Kansas State,39,655.0,2.0
James Tyre,Western Carolina,51,655.0,3.0
Shane Carr,Southern Utah,47,655.0,3.0
Raphael Williams,Pittsburgh,44,654.0,3.0
Caleb Burke,New Hampshire,50,654.0,0.0
Leland Smith,San José State,42,650.0,2.0
Noah Grevious,VMI,51,649.0,2.0
Ryan Wingo,Texas,46,648.0,3.0
Joey Isabella,Duquesne,57,647.0,7.0
Kolbe Katsis,Northern Arizona,49,647.0,3.0
Adjatay Dabbs,Mercer,39,645.0,1.0
Elijah Metcalf,Southern Miss,51,643.0,0.0
Josh Meredith,Washington State,47,638.0,2.0
Marcus Sanders Jr.,Georgia Southern,42,637.0,1.0
CJ Williams,Stanford,55,635.0,2.0
Andrew Marsh,Michigan,41,635.0,2.0
Jordan Napier,San Diego State,47,633.0,2.0
Demarcus Lacey,Marshall,59,633.0,0.0
Christian Moss,Kennesaw State,39,631.0,0.0
Ja'Cory Thomas,Old Dominion,36,628.0,3.0
Jordan Dwyer,TCU,51,626.0,2.0
Nick Marsh,Michigan State,54,625.0,4.0
Griffin Wilde,Northwestern,52,624.0,2.0
Jackson Harris,Hawai'i,40,624.0,4.0
Chris Dawn Jr.,Texas State,28,622.0,0.0
K.D. Hutchinson,Western Kentucky,59,621.0,3.0
Chase Wilson,New Hampshire,42,620.0,2.0
Keagan Johnson,New Mexico,52,620.0,1.0
Nyziah Hunter,Nebraska,43,617.0,4.0
Ashtyn Hawkins,Baylor,52,616.0,0.0
Kalvin Gilbert,Southeast Missouri State,43,616.0,4.0
Quentin Cobb-Butler,St. Thomas (MN),48,616.0,4.0
Ephraim Floyd,East Tennessee State,62,615.0,1.0
Ryan Davis,Utah,55,615.0,3.0
Terrell Anderson,NC State,37,614.0,4.0
Adonis McDaniel,Mercer,44,614.0,2.0
Javen Nicholas,Charlotte,53,613.0,1.0
Que'Sean Brown,Duke,49,613.0,1.0
Na'eem Abdul-Rahim Gladding,Old Dominion,45,612.0,5.0
Zyheem Collick,Bryant,33,604.0,2.0
Omari Kelly,Michigan State,44,602.0,1.0
Gabe Nunez,Southern Utah,53,600.0,2.0
Greg Gaines III,Rhode Island,37,600.0,2.0
Marcel Williams,Akron,43,599.0,0.0
Junior Sherrill,Vanderbilt,42,598.0,5.0
Bisi Owens,Pennsylvania,62,598.0,1.0
Kenny Johnson,Pittsburgh,43,597.0,2.0
Cade Harris,Air Force,35,596.0,2.0
Devin Mccuin,UTSA,55,594.0,3.0
Elijah Sarratt,Indiana,45,593.0,9.0
Cody Jackson,Tarleton State,45,592.0,2.0
Shemar Kirk,Austin Peay,38,591.0,2.0
BJ Fleming,North Dakota,42,591.0,3.0
Jordan Faison,Notre Dame,45,587.0,0.0
Brooks Davis,Montana,44,587.0,2.0
Ryan Williams,Alabama,39,586.0,3.0
Javon Robinson,Georgia State,54,585.0,3.0
Calvin Jones,Samford,52,585.0,3.0
Jaron Tibbs,Kansas State,46,582.0,2.0
Devin Matthews,East Texas A&M,33,582.0,4.0
Ky Wilson,Youngstown State,55,582.0,2.0
Jathen Jones,Southern Illinois,33,580.0,3.0
Jordan Smith,South Carolina State,40,580.0,1.0
Isaiah Dawson,Richmond,41,580.0,3.0
Jacquon Gibson,Massachusetts,61,578.0,0.0
Brady Blackburn,Harvard,34,577.0,2.0
Michael Jackson III,Purdue,63,576.0,1.0
Donnie Cheers,Southeast Missouri State,43,573.0,4.0
Scott Woods II,Maine,51,573.0,3.0
Raylen Sharpe,Arkansas,40,572.0,2.0
Mason Kuehner,Lafayette,52,571.0,0.0
Josh Heverly,San Diego,46,571.0,5.0
Eric Olsen,Utah Tech,52,570.0,2.0
Darius Cannon,Murray State,67,570.0,0.0
Micahi Danzy,Florida State,26,569.0,2.0
Kendrick Law,Kentucky,52,569.0,1.0
Luke Mailander,Illinois State,35,566.0,4.0
John Dunmore,Towson,48,564.0,4.0
Cyrus Allen,Cincinnati,43,562.0,5.0
Jordan Shipp,North Carolina,55,560.0,2.0
Malik Knight,Western Carolina,34,559.0,2.0
Reed Harris,Boston College,33,557.0,0.0
Jeremiah Harrison,East Tennessee State,35,556.0,2.0
Brock Spalding,East Carolina,40,555.0,2.0
Trevor Foley,Brown,31,555.0,1.0
Duane Thomas Jr.,UCF,53,554.0,0.0
Jameson Garcia,Incarnate Word,40,552.0,3.0
Tanner Koziol,Houston,57,552.0,1.0
Mason Humphrey,Lehigh,29,552.0,2.0
DT Sheffield,Rutgers,42,551.0,2.0
Donovan Faupel,New Mexico State,51,548.0,1.0
Grayson O'Bara,Dartmouth,42,548.0,1.0
Titus Evans,Columbia,40,548.0,1.0
Maleek Huggins,Bethune-Cookman,44,548.0,3.0
Jaceon Doss,Towson,26,546.0,3.0
Stacy Dobbins,UC Davis,44,546.0,1.0
Jamari Hawkins,Memphis,33,546.0,0.0
Malachi Fields,Notre Dame,31,545.0,2.0
Chris Barnes,Wake Forest,38,543.0,3.0
Reginald Virgil,Texas Tech,43,543.0,4.0
Markell Quick,Chattanooga,30,542.0,1.0
Chauncey Spikes,North Carolina Central,42,542.0,2.0
Marqeese Dietz,Stony Brook,69,540.0,1.0
Ethan Loss,Butler,46,539.0,1.0
Fabian Mccray,Southern Illinois,38,537.0,3.0
Coy Eakin,Texas Tech,43,536.0,4.0
Trevon West,Tarleton State,31,536.0,1.0
Sam Roush,Stanford,48,535.0,2.0
Eric Rivers,Georgia Tech,40,534.0,1.0
Miles Williams,Eastern Washington,42,534.0,2.0
Brody Foley,Tulsa,35,531.0,4.0
Collin Dixon,Illinois,32,531.0,3.0
Octavian Smith Jr.,Maryland,42,530.0,0.0
Dorian Thomas,New Mexico,50,529.0,3.0
Treyvhon Saunders,Colgate,39,528.0,4.0
Joseph Manjack,TCU,39,528.0,2.0
Aboraa Kwarteng,Rhode Island,36,527.0,1.0
Josh Robinson,Princeton,44,526.0,0.0
Dezmen Roebuck,Washington,37,526.0,2.0
Antonio Williams,Clemson,51,526.0,0.0
Jaden Barnes,App State,51,523.0,5.0
Jalen Johnson,South Carolina State,42,522.0,0.0
Max Mosey,Holy Cross,50,522.0,0.0
TJ Cadden,Bucknell,42,521.0,3.0
Deion Burks,Oklahoma,50,519.0,2.0
Devaughn Slaughter,Tennessee State,55,519.0,2.0
Johntay Cook II,Syracuse,42,518.0,1.0
Rylan Davison,Mercyhurst,41,517.0,1.0
Romello Brinson,SMU,40,517.0,1.0
Preston Bird,Samford,42,516.0,3.0
Lucas Desjardins,Murray State,42,515.0,0.0
Jeremiah Koger,South Florida,33,515.0,4.0
Ayden Greene,Virginia Tech,30,514.0,1.0
Dez Williams,Stony Brook,51,512.0,2.0
Donaven McCulley,Michigan,34,512.0,2.0
Jackson Voth,Drake,45,511.0,2.0
Landon Ellis,James Madison,31,511.0,4.0
Jayce Freeman,Stony Brook,35,509.0,2.0
Kole Wilson,Baylor,39,508.0,1.0
Tray Taylor,Troy,30,508.0,3.0
Michael Mussari,Dayton,28,507.0,4.0
JC Roque,Northern Iowa,52,507.0,1.0
Noah Robinson,Tennessee Tech,33,506.0,5.0
Nitro Tuggle,Purdue,34,505.0,3.0
Sean Brown,Charlotte,35,504.0,0.0
Caullin Lacy,Louisville,51,504.0,0.0
Jovanni Bermudez,Temple,36,504.0,4.0
Yannick Smith,East Carolina,40,503.0,2.0
Rashawn Cunningham,Charleston Southern,32,503.0,4.0
Mekhi Norris,Mississippi Valley State,28,502.0,1.0
Bryant Wesco Jr.,Clemson,30,501.0,5.0
Vernell Brown III,Florida,36,501.0,0.0
Jayvonne Dillard,North Carolina A&T,41,498.0,1.0
Tony Freeman,Washington State,50,498.0,1.0
Cam Vaughn,West Virginia,33,497.0,3.0
Keelan Marion,Miami,40,496.0,0.0
Maury Sullivan,Tennessee Tech,43,493.0,1.0
DeAree Rogers,Northern Illinois,45,492.0,2.0
Brady Boyd,Utah State,36,491.0,3.0
Chase Sowell,Iowa State,30,490.0,0.0
Jaren Kanak,Oklahoma,39,490.0,0.0
Deuce Alexander,Ole Miss,33,489.0,1.0
Eric Singleton Jr.,Auburn,52,487.0,2.0
Isaiah Eastman,Northern Arizona,34,486.0,0.0
Cole Weaver,Miami (OH),37,486.0,0.0
Dalton Stroman,App State,30,486.0,3.0
Miles Coleman,North Texas,45,485.0,1.0
Caleb Goodie,Cincinnati,29,484.0,2.0
Latrell Caples,Boise State,41,484.0,2.0
Rohan Jones,Arkansas,17,483.0,2.0
Cayden Lee,Ole Miss,31,483.0,2.0
Jacory Barney Jr.,Nebraska,41,482.0,3.0
Eli Raridon,Notre Dame,32,482.0,0.0
Javon Ross,Bethune-Cookman,43,482.0,1.0
Nathan Rembert,Jackson State,32,481.0,2.0
Terrance Carter,Texas Tech,41,481.0,4.0
Deondre Johnson,Jacksonville State,20,481.0,0.0
Yamir Knight,SMU,44,480.0,2.0
Demari Davis,Western Illinois,25,479.0,2.0
Lemeke Brockington,Minnesota,44,478.0,2.0
Jordan Dees,West Georgia,34,477.0,2.0
Dalen Cobb,Georgia Southern,51,476.0,3.0
Dylan Lord,Illinois State,48,476.0,1.0
Kwazi Gilmer,UCLA,47,475.0,0.0
Tre Richardson,Vanderbilt,35,475.0,1.0
Ryder Kurtz,Cornell,41,475.0,2.0
Anthony Lowe,Gardner-Webb,45,475.0,2.0
Alred Luke,Missouri State,34,473.0,2.0
Darrell Gill Jr.,Syracuse,30,473.0,4.0
Tyrell Pollard,Central Arkansas,24,472.0,4.0
Terence Loville,Portland State,32,471.0,1.0
Tailique Williams,Western Michigan,34,471.0,0.0
Jalil Farooq,Maryland,52,471.0,0.0
Deven Thompson,William & Mary,24,470.0,4.0
Drew Krobath,Lindenwood,28,469.0,1.0
Jahmal Edrine,Virginia,37,469.0,0.0
David Wells Jr.,Oregon State,42,468.0,3.0
Cameron Ross,Virginia,42,467.0,2.0
Omari Hayes,Tulane,35,467.0,0.0
DeAndre Moore Jr.,Texas,35,466.0,1.0
Chris Marshall,Boise State,24,466.0,2.0
Chas Nimrod,South Florida,23,466.0,3.0
Cade Wolford,Kent State,18,466.0,5.0
Aldrich Doe,Bryant,35,465.0,2.0
Peter Clarke,Temple,28,465.0,3.0
Ty Durham,Central Arkansas,33,463.0,0.0
Jyrin Johnson,Bowling Green,35,463.0,1.0
Dae'Quan Wright,Ole Miss,28,462.0,3.0
Jmariyae Robinson,Missouri State,36,462.0,1.0
Cam Pickett,Kansas,45,462.0,3.0
Connor Hulstein,Marist,34,461.0,3.0
Joseph Williams,Colorado,34,460.0,3.0
Shazz Preston,Tulane,35,459.0,1.0
Josh Williams,Chattanooga,37,459.0,3.0
Tristin Duncan,Western Illinois,40,458.0,0.0
Nick Devereaux,Eastern Michigan,30,457.0,1.0
Tae'Shaun Johnson,Hampton,39,457.0,2.0
Sam Pickett III,Samford,33,457.0,2.0
De'Zhaun Stribling,Ole Miss,35,457.0,2.0
Grahm Goering,South Dakota State,34,456.0,0.0
Dom Henry,Florida Atlantic,37,456.0,3.0
Chris Corbo,Dartmouth,43,456.0,1.0
Carl Chester,Southern Miss,25,455.0,2.0
Justin Joly,NC State,45,455.0,3.0
Tristen Riley,Bryant,43,455.0,1.0
Tysen Kershaw,Northern Iowa,30,454.0,2.0
Tyler King,New Mexico State,33,453.0,0.0
Josiah Freeman,Fresno State,43,453.0,4.0
Elijah Steward,Lafayette,32,453.0,1.0
JaShawn Todd,St. Thomas (MN),45,452.0,0.0
Gavin Harris,New Mexico State,32,452.0,1.0
Dane Key,Nebraska,35,450.0,4.0
Kevonne Wilder,New Haven,39,450.0,1.0
Phaizon Wilson,UT Martin,35,450.0,1.0
Donte Lee Jr,Liberty,22,448.0,3.0
Bryce Farrell,Stanford,28,447.0,1.0
Zachary Kim,Stonehill,32,445.0,4.0
Myles Butler,Middle Tennessee,48,444.0,0.0
Dakorien Moore,Oregon,28,443.0,3.0
Eli Finley,Louisiana Tech,37,442.0,0.0
Rashad Rochelle,Indiana State,32,442.0,1.0
RaJa Nelson,North Dakota State,28,442.0,4.0
Donovan Brown,San Diego State,30,441.0,1.0
Tyler Pezza,Brown,38,440.0,2.0
Justin Pegues,North Alabama,44,440.0,3.0
Jeff Caldwell,Cincinnati,29,438.0,3.0
Connor Finer,Rhode Island,40,437.0,2.0
D'Avery Robinson,Arkansas-Pine Bluff,42,437.0,0.0
Bryce Bailey,UT Martin,34,437.0,3.0
Nodin Tracy,Fordham,44,437.0,1.0
Hunter Summers,Arkansas State,41,436.0,1.0
Nathan Levicki,Presbyterian,30,435.0,3.0
Dylan Djete,Alabama State,28,435.0,3.0
Kendall Harris,Mercer,33,434.0,0.0
Kyan Mason,Akron,31,434.0,1.0
Carsen Ryan,BYU,34,433.0,2.0
Cam Henry,Harvard,33,433.0,1.0
Kenyon Sadiq,Oregon,37,432.0,5.0
De'Andre Tamarez,Marshall,32,432.0,1.0
Malik Benson,Oregon,29,432.0,3.0
DJ Epps,Troy,42,431.0,2.0
Roriyon Richardson,Texas Southern,29,430.0,3.0
Nahzae Cox,Middle Tennessee,34,430.0,1.0
Taj Hughes,Drake,39,430.0,1.0
Parker Livingstone,Texas,23,430.0,3.0
Daejon Reynolds,UNLV,28,430.0,1.0
Davion Dozier,App State,19,429.0,3.0
Dylan Wade,UCF,39,428.0,1.0
Jaden Robinson,Austin Peay,32,428.0,3.0
Ja'Keith Hamilton,Furman,38,428.0,3.0
Nyck Harbor,South Carolina,26,426.0,3.0
Kobe Paysour,North Carolina,34,425.0,1.0
Jack Freeburg,Fordham,36,424.0,2.0
Trayvon Rudolph,Toledo,38,423.0,1.0
Kajiya Hollawayne,Temple,35,423.0,2.0
Cataurus Hicks,Pittsburgh,24,422.0,3.0
Caden High,Stanford,36,422.0,0.0
Cam'Ron Lacy,Middle Tennessee,33,421.0,0.0
Troy Omeire,UNLV,27,419.0,2.0
Lance Martinez,Marist,22,418.0,2.0
Dallen Bentley,Utah,38,417.0,2.0
Moussa Barry,Western Kentucky,28,416.0,0.0
Michael Trovarelli,Central Connecticut,39,416.0,3.0
Dashawn Martin,Kent State,28,415.0,1.0
Paul Odidi,East Texas A&M,38,415.0,2.0
Ja'Vion Griffin,Richmond,39,414.0,0.0
Payton Rhoades,Sacred Heart,32,413.0,1.0
Anthony Brown,Tulane,33,413.0,1.0
Ja'Naylon Dupree,Jackson State,25,413.0,4.0
Dan Villari,Syracuse,39,412.0,0.0
Nate DeMontagnac,North Dakota,34,412.0,0.0
Kyndon Fuselier,Lamar,43,411.0,3.0
Hayden Eligon Ii,Northwestern,30,409.0,0.0
Clayton Wayland,Stephen F. Austin,30,409.0,1.0
Lake McRee,USC,26,409.0,2.0
Landyn Backey,Elon,23,407.0,3.0
E. Jai Mason,Charlotte,30,407.0,3.0
Jeremiah Franklin,Boston College,42,406.0,0.0
Ramone Green Jr.,Missouri State,24,404.0,1.0
Shelton Sampson Jr.,Louisiana,24,404.0,0.0
E.J. Williams,Indiana,33,404.0,3.0
BJ Hawkins Jr.,UAB,36,404.0,1.0
Aaron Anderson,LSU,32,403.0,0.0
Reymello Murphy,UConn,32,403.0,3.0
Kareem Burke,Arkansas-Pine Bluff,33,402.0,0.0
Isiah Canion,Georgia Tech,27,402.0,1.0
AJ Wilson,UTSA,23,402.0,2.0
Colin Chase,Temple,37,401.0,2.0
David Amador,UTSA,40,400.0,0.0
Christian Anaya,Western Illinois,39,399.0,3.0
Max Klare,Ohio State,39,399.0,1.0
Wayne Harris,Kent State,35,399.0,0.0
Tychaun Chapman,Southern Miss,21,398.0,1.0
Brett Eskildsen,Iowa State,26,398.0,1.0
Kerry King,Furman,42,398.0,0.0
Darren Morris,Southern,22,398.0,1.0
Logan Booher,Cal Poly,34,396.0,2.0
Lawayne McCoy,Florida State,26,396.0,1.0
Dylan Evans,Mercyhurst,36,396.0,2.0
Isaiah Scott,Wofford,31,395.0,2.0
Ajai Harrell,Alabama State,21,395.0,3.0
Amonte Jones,North Carolina A&T,27,394.0,1.0
Boden Groen,Kansas,31,394.0,2.0
Ian Duarte,Idaho State,39,394.0,0.0
Caleb Borders,Gardner-Webb,23,393.0,2.0
Trebor Pena,Penn State,40,392.0,0.0
Maxwell Moss,Hampton,28,392.0,1.0
Zion Booker,Tulsa,42,392.0,2.0
Tra Neal,Monmouth,29,390.0,6.0
Mehki Larronte Campfield,Charleston Southern,30,390.0,0.0
Joe Royer,Cincinnati,28,389.0,3.0
Andre Dennis,Prairie View A&M,24,389.0,0.0
Bryce Bohanon,Tulane,30,388.0,1.0
Jeremiah McClellan,Oregon,24,388.0,1.0
Elijah Elliott,Bryant,43,387.0,2.0
Isaiah Horton,Alabama,30,387.0,5.0
Tristian Gardner,Missouri State,25,386.0,2.0
Barion Brown,LSU,39,386.0,1.0
Dean Boyd,Harvard,30,386.0,1.0
Jayson Raines,Northern Arizona,30,385.0,1.0
Kenari Wilcher,Florida A&M,27,385.0,0.0
Doryn Smith,Cornell,42,384.0,2.0
Brandon White,Hawai'i,37,384.0,1.0
Landon Sides,North Texas,27,384.0,1.0
Jaden Gilbert,Youngstown State,39,383.0,0.0
Jeff Weimer,West Virginia,21,383.0,0.0
Tommy Mcintosh,Central Michigan,24,382.0,1.0
Jonathan Bibbs,UL Monroe,26,382.0,1.0
Vinny Anthony,Wisconsin,30,382.0,1.0
Hunter Tipton,Middle Tennessee,34,380.0,0.0
Dominic Kibby,Presbyterian,33,379.0,1.0
Jalen Smith,Minnesota,23,379.0,1.0
Mehki Wall,North Carolina Central,25,377.0,1.0
Terrill Davis,Oklahoma State,29,377.0,0.0
Noah Rogers,NC State,29,376.0,1.0
BJ Atkins,Presbyterian,27,376.0,1.0
Tanaka Scott,North Alabama,28,376.0,1.0
Lotzeir Brooks,Alabama,26,375.0,0.0
Jayleen Record,Weber State,35,375.0,1.0
Vandrevious Jacobs,South Carolina,29,375.0,1.0
Carlos Hernandez,Wake Forest,32,375.0,0.0
Izayah Cummings,App State,37,374.0,1.0
Patrick Wagner,St. Thomas (MN),26,371.0,2.0
Langston Lewis,Central Michigan,33,371.0,1.0
Tre' Holloway,Tennessee Tech,33,371.0,1.0
Molayo Irefin,Maine,32,371.0,0.0
Garrett Oakley,Kansas State,34,370.0,3.0
Javon Tracy,Minnesota,30,370.0,1.0
Toby Payne,Marshall,34,369.0,2.0
Sincere Brown,Colorado,21,368.0,2.0
Dontae McMillan,Eastern Michigan,32,368.0,2.0
Jeter Purdy,Northern Arizona,27,368.0,1.0
Israel Polk,Akron,27,368.0,4.0
DeJuan Williams,Maryland,42,368.0,0.0
Evan Van Dyke,Mercyhurst,37,367.0,2.0
Chris Durr Jr.,Wyoming,29,366.0,3.0
Desirrio Riles,East Carolina,28,366.0,1.0
Kenny Odom,UTEP,48,366.0,1.0
Franck Pierre,Alabama A&M,22,366.0,1.0
Malik McClain,Arizona State,22,366.0,0.0
Goldie Lawrence,Florida A&M,27,366.0,0.0
Noah Cronquist,Eastern Washington,31,366.0,0.0
Cole Bunicci,Stony Brook,28,364.0,0.0
CJ Nelson,Eastern Illinois,19,364.0,2.0
Chedon James,Incarnate Word,37,363.0,2.0
Ja'Ryan Wallace,Houston Christian,29,363.0,0.0
Ronnel Johnson,Missouri State,26,363.0,0.0
Sterling Berkhalter,Wake Forest,24,363.0,1.0
Ja'Coby Matthews,Alcorn State,28,361.0,1.0
Solomon Miller,Brown,33,361.0,1.0
Rara Thomas,Troy,26,361.0,1.0
Gavin Nelson,Monmouth,26,361.0,2.0
C.J. Daniels,Miami,34,360.0,5.0
Keith Jones,Grambling,26,359.0,1.0
Tremel Jones,Tennessee Tech,35,359.0,0.0
Anthony Eager,South Alabama,42,358.0,1.0
Jaqai Carter,Robert Morris,28,358.0,1.0
Wesley Grimes,NC State,25,358.0,0.0
Charlie Becker,Indiana,19,358.0,1.0
Tommy Maher,Colorado State,32,358.0,0.0
Travaunta Abner,Alabama A&M,31,357.0,1.0
Seydou Traore,Mississippi State,32,357.0,3.0
Ian Simpson,UC Davis,24,356.0,1.0
Marvin Session,Weber State,32,356.0,0.0
Dorian Fleming,Maryland,39,354.0,2.0
Donovan Wadley,Central Connecticut,21,354.0,1.0
Tyson George,Grambling,27,354.0,0.0
Chase Penry,Boise State,26,353.0,0.0
Grady O'Neill,Sam Houston,34,352.0,0.0
Winston Watkins,Ole Miss,23,351.0,0.0
Brock Rechsteiner,Jacksonville State,31,351.0,4.0
Chamon Metayer,Arizona State,35,351.0,1.0
Marquis Johnson,Missouri,28,351.0,2.0
Tastean Reddicks,Oregon State,27,351.0,0.0
Bradyn Anderson,Army,12,350.0,2.0
Jeremiah Hasley,Duke,28,350.0,0.0
Wayne Knight,James Madison,37,350.0,0.0
Jack Velling,Michigan State,35,350.0,2.0
Anthony Garcia,Utah State,20,349.0,3.0
J.Michael Sturdivant,Florida,26,349.0,1.0
J.J. Evans,Norfolk State,29,347.0,0.0
Montez Green,Morehead State,29,346.0,2.0
Jasaiah Gathings,Buffalo,33,346.0,0.0
Aaron Turner,Rice,45,346.0,0.0
Quin Smith,Air Force,14,346.0,3.0
Samuel Gbatu Jr.,UC Davis,23,345.0,5.0
Chris Hunter,Arizona,25,345.0,2.0
Jonah Coleman,Washington,30,344.0,1.0
